x,y
3.228513658718264878e+02,9.829668453263668653e+02
3.203924610647853228e+02,9.631185762041005773e+02
3.281871215975331779e+02,9.447000185195471431e+02
3.368493436850550324e+02,9.266732076949323300e+02
3.479888795087069298e+02,9.100626465474703082e+02
3.627304975022262283e+02,8.965465561758744570e+02
3.802431114823914413e+02,8.868869313600898749e+02
3.999518998463906314e+02,8.834863929875536996e+02
4.164670096397146040e+02,8.722058279079818703e+02
4.344194112230949827e+02,8.633904278949908075e+02
4.519320252032601957e+02,8.537308030792062254e+02
4.638493060334687925e+02,8.376690965193806733e+02
4.680173719348691748e+02,8.181082369615395464e+02
4.655584671278280666e+02,7.982599678392732585e+02
4.567430671148370607e+02,7.803075662558928798e+02
4.542841623077959525e+02,7.604592971336265919e+02
4.490255823961026067e+02,7.411629934121276619e+02
4.348233667439961323e+02,7.270811941460160597e+02
4.160547861566936376e+02,7.201717525811765199e+02
3.976362284721402034e+02,7.123770920484286080e+02
3.796094176475253903e+02,7.037148699609067535e+02
3.596666304804317633e+02,7.052265709921975940e+02
3.399296021808902992e+02,7.019939692686475610e+02
3.208535155624823574e+02,6.959853987791719874e+02
3.037317280909036867e+02,6.856488425935707482e+02
2.841708685330626167e+02,6.814807766921703660e+02
2.654022879457601221e+02,6.745713351273309399e+02
2.456934995817609604e+02,6.779718734998671152e+02
2.261688387206895072e+02,6.823063421247558153e+02
2.063003523966451382e+02,6.800165274616746274e+02
1.865633240971036457e+02,6.767839257381245943e+02
1.678542553327133362e+02,6.838529246749836830e+02
1.478621269480039473e+02,6.844139974414739527e+02
1.308289722743707841e+02,6.948959649029808361e+02
1.124774510514640724e+02,7.028471703968166366e+02
9.253466388437044543e+01,7.043588714281074772e+02
7.376608329706793654e+01,6.974494298632680511e+02
5.534752561251447389e+01,6.896547693305202529e+02
3.822573814093580324e+01,6.793182131449190138e+02
2.274927110009547704e+01,6.666501837822365815e+02
3.012242800553984523e+00,6.634175820586865484e+02
-1.654861675728711390e+01,6.592495161572861662e+02
-3.639688587955340893e+01,6.617084209643273880e+02
-5.610567424355257060e+01,6.651089593368635633e+02
-7.361828822371775516e+01,6.747685841526482591e+02
-9.291459194521669929e+01,6.800271640643417186e+02
-1.128695277818595883e+02,6.786853236284234754e+02
-1.327380141059039715e+02,6.763955089653422874e+02
-1.487997206657295237e+02,6.644782281351336906e+02
-1.654102818131916308e+02,6.533386923114818501e+02
-1.758922492746985142e+02,6.363055376378487153e+02
-1.925028104221606213e+02,6.251660018141968749e+02
-2.013182104351516841e+02,6.072136002308164962e+02
-2.167946774759920174e+02,5.945455708681341775e+02
-2.303107678475879823e+02,5.798039528746148790e+02
-2.382619733414238112e+02,5.614524316517081388e+02
-2.453309722782829567e+02,5.427433628873178577e+02
-2.532821777721187857e+02,5.243918416644111176e+02
-2.603511767089779028e+02,5.056827729000208365e+02
-2.745533923610844340e+02,4.916009736339092342e+02
-2.938937715388894389e+02,4.865068855645167787e+02
-3.129698581572974376e+02,4.804983150750412619e+02
-3.324945190183688624e+02,4.848327836999299620e+02
-3.517908227398677923e+02,4.900913636116234215e+02
-3.693034367200330053e+02,4.997509884274080605e+02
-3.796399929056342444e+02,5.168727758989867880e+02
-3.907795287292860849e+02,5.334833370464489235e+02
-3.958736167986785404e+02,5.528237162242539853e+02
-3.906150368869851377e+02,5.721200199457529152e+02
-3.778156900878254305e+02,5.874880621605192346e+02
-3.690002900748344246e+02,6.054404637438996133e+02
-3.593406652590497856e+02,6.229530777240647694e+02
-3.597314917676363279e+02,6.429492587254507043e+02
-3.610733322035546280e+02,6.629041945620936076e+02
-3.688679927363024831e+02,6.813227522466470418e+02
-3.848276456138147523e+02,6.933763608361655315e+02
-3.959671814374665928e+02,7.099869219836276670e+02
-4.139195830208469715e+02,7.188023219966187298e+02
-4.250591188444988120e+02,7.354128831440808653e+02
-4.353956750301000511e+02,7.525346706156595928e+02
-4.465352108537518916e+02,7.691452317631217284e+02
-4.635683655273850263e+02,7.796271992246286118e+02
-4.830930263884564511e+02,7.839616678495173119e+02
-5.021691130068644497e+02,7.779530973600417383e+02
-5.182308195666900019e+02,7.660358165298331414e+02
-5.324330352187964763e+02,7.519540172637215392e+02
-5.517734143966015381e+02,7.468599291943290837e+02
-5.713342739544426649e+02,7.426918632929287014e+02
-5.911825430767089529e+02,7.451507680999698096e+02
-6.111253302438025230e+02,7.466624691312606501e+02
-6.304657094216075848e+02,7.415683810618681946e+02
-6.500265689794487116e+02,7.374003151604678123e+02
-6.671483564510274391e+02,7.270637589748665732e+02
-6.847425838911508436e+02,7.175535980516640393e+02
-6.982586742627468084e+02,7.028119800581447407e+02
-7.044294530864069657e+02,6.837877458104944708e+02
-7.179455434580029305e+02,6.690461278169751722e+02
-7.307448902571626377e+02,6.536780856022088528e+02
-7.495134708444651324e+02,6.467686440373694268e+02
-7.694562580115587025e+02,6.482803450686602673e+02
-7.894483863962681198e+02,6.488414178351505370e+02
-8.094445673976540547e+02,6.484505913265639947e+02
-8.294366957823634721e+02,6.490116640930542644e+02
-8.464698504559966068e+02,6.594936315545611478e+02
-8.591378798186790391e+02,6.749700985954015096e+02
-8.761710344923121738e+02,6.854520660569083930e+02
-8.856811954155147077e+02,7.030462934970317974e+02
-8.943434175030365623e+02,7.210731043216466105e+02
-9.038535784262390962e+02,7.386673317617700150e+02
-9.185951964197583948e+02,7.521834221333659798e+02
-9.281053573429609287e+02,7.697776495734893842e+02
-9.275442845764706590e+02,7.897697779581988016e+02
-9.204752856396115703e+02,8.084788467225890827e+02
-9.237078873631616034e+02,8.282158750221306036e+02
-9.297164578526371770e+02,8.472919616405386023e+02
-9.366258994174767167e+02,8.660605422278410970e+02
-9.426344699069522903e+02,8.851366288462490957e+02
-9.573760879004715889e+02,8.986527192178450605e+02
-9.685156237241234294e+02,9.152632803653070823e+02
-9.804329045543320262e+02,9.313249869251326345e+02
-9.915724403779838667e+02,9.479355480725946563e+02
-9.984818819428234065e+02,9.667041286598971510e+02
-9.988727084514099488e+02,9.867003096612830859e+02
-9.892130836356253667e+02,1.004212923641448356e+03
-9.787311161741184833e+02,1.021246078315081490e+03
-9.707799106802826827e+02,1.039597599537988117e+03
-9.572638203086868316e+02,1.054339217531507529e+03
-9.430616046565803572e+02,1.068421016797619131e+03
-9.378030247448870114e+02,1.087717320519118175e+03
-9.334685561199984249e+02,1.107241981380189600e+03
-9.229865886584915415e+02,1.124275136053822735e+03
-9.075101216176512935e+02,1.136943165416505053e+03
-8.894833107930364804e+02,1.145605387504026794e+03
-8.766839639938767732e+02,1.160973429718793113e+03
-8.646303554043583972e+02,1.176933082596305439e+03
-8.621714505973172891e+02,1.196781351718571841e+03
-8.663395164987176713e+02,1.216342211276412854e+03
-8.766760726843190241e+02,1.233463998747991582e+03
-8.878156085079709783e+02,1.250074559895453604e+03
-8.947250500728105180e+02,1.268843140482756098e+03
-9.058645858964624722e+02,1.285453701630218120e+03
-9.162011420820638250e+02,1.302575489101796848e+03
-9.273406779057157792e+02,1.319186050249258869e+03
-9.286825183416341360e+02,1.339140986085901659e+03
-9.309723330047154377e+02,1.359009472409946056e+03
-9.266378643798268513e+02,1.378534133271017481e+03
-9.178224643668359022e+02,1.396486534854397860e+03
-9.172613916003457462e+02,1.416478663239107163e+03
-9.120028116886524003e+02,1.435774966960606207e+03
-9.058320328649923567e+02,1.454799201208256363e+03
-8.987630339281332681e+02,1.473508269972646758e+03
-8.891034091123486860e+02,1.491020883952812028e+03
-8.719816216407700722e+02,1.501357440138413267e+03
-8.543873942006466677e+02,1.510867601061615915e+03
-8.408713038290508166e+02,1.525609219055135327e+03
-8.347005250053907730e+02,1.544633453302785483e+03
-8.258851249923998239e+02,1.562585854886165862e+03
-8.162255001766152418e+02,1.580098468866331132e+03
-8.057435327151084721e+02,1.597131623539964266e+03
-8.014090640902198857e+02,1.616656284401035691e+03
-7.909270966287131159e+02,1.633689439074668826e+03
-7.812674718129285338e+02,1.651202053054834096e+03
-7.778669334403924722e+02,1.670910841418833343e+03
-7.829610215097850414e+02,1.690251220596638404e+03
-7.852508361728662294e+02,1.710119706920682802e+03
-7.772996306790305425e+02,1.728471228143589542e+03
-7.652460220895121665e+02,1.744430881021101868e+03
-7.497695550486719185e+02,1.757098910383784414e+03
-7.377159464591535425e+02,1.773058563261296740e+03
-7.315451676354934989e+02,1.792082797508946896e+03
-7.244761686986344102e+02,1.810791866273337291e+03
-7.165249632047987234e+02,1.829143387496244031e+03
-7.131244248322625481e+02,1.848852175860243278e+03
-7.106655200252214399e+02,1.868700444982509680e+03
-7.035965210883623513e+02,1.887409513746900075e+03
-6.881200540475221032e+02,1.900077543109582621e+03
-6.776380865860153335e+02,1.917110697783215755e+03
-6.679784617702307514e+02,1.934623311763381025e+03
-6.544623713986349003e+02,1.949364929756900437e+03
-6.368681439585114958e+02,1.958875090680103085e+03
-6.180995633712090012e+02,1.965784532244942739e+03
-5.990234767528010025e+02,1.971793102734418426e+03
-5.796830975749960544e+02,1.976887190803810881e+03
-5.654808819228895800e+02,1.990968990069922484e+03
-5.506247135766398060e+02,2.004359070804103567e+03
-5.310638540187986791e+02,2.008527136705504063e+03
-5.139420665472200653e+02,2.018863692891105302e+03
-4.940735802231756679e+02,2.021153507554186490e+03
-4.747332010453706630e+02,2.026247595623578945e+03
-4.581226398979086412e+02,2.037387131447230786e+03
-4.446065495263127900e+02,2.052128749440750198e+03
-4.261879918417593558e+02,2.059923409973498110e+03
-4.141343832522409798e+02,2.075883062851010436e+03
-4.097999146273523934e+02,2.095407723712081861e+03
-4.045413347156590476e+02,2.114704027433580904e+03
-3.917419879164993972e+02,2.130072069648347224e+03
-3.782258975449035461e+02,2.144813687641866636e+03
-3.654265507457438957e+02,2.160181729856632955e+03
-3.549445832842370692e+02,2.177214884530266318e+03
-3.436640182046652967e+02,2.193729994323590290e+03
-3.421523171733745130e+02,2.213672781490683974e+03
-3.508145392608963675e+02,2.231699592315298560e+03
-3.603247001840989583e+02,2.249293819755421737e+03
-3.722419810143076120e+02,2.265355526315247062e+03
-3.745317956773888000e+02,2.285224012639291232e+03
-3.814412372422282829e+02,2.303992593226593726e+03
-3.941092666049107152e+02,2.319469060267434088e+03
-4.074993473390916847e+02,2.334325228613683976e+03
-4.116674132404921238e+02,2.353886088171524989e+03
-4.092085084334510157e+02,2.373734357293791163e+03
-4.021395094965919839e+02,2.392443426058181558e+03
-3.924798846808074018e+02,2.409956040038346600e+03
-3.753580972092287880e+02,2.420292596223947839e+03
-3.598816301683884831e+02,2.432960625586630158e+03
-3.463655397967925751e+02,2.447702243580149570e+03
-3.384143343029568314e+02,2.466053764803056310e+03
-3.248982439313609234e+02,2.480795382796575723e+03
-3.106960282792544490e+02,2.494877182062687552e+03
-2.926692174546396927e+02,2.503539404150209521e+03
-2.784670018025332183e+02,2.517621203416321350e+03
-2.732084218908398725e+02,2.536917507137820394e+03
-2.619278568112681000e+02,2.553432616931144366e+03
-2.439010459866533154e+02,2.562094839018666335e+03
-2.263068185465299109e+02,2.571604999941868755e+03
-2.127907281749340029e+02,2.586346617935388167e+03
-2.084562595500453597e+02,2.605871278796459592e+03
-1.949401691784494517e+02,2.620612896789979004e+03
-1.758640825600414814e+02,2.626621467279454464e+03
-1.610079142137916506e+02,2.640011548013635547e+03
-1.530567087199559069e+02,2.658363069236542287e+03
-1.410031001304374740e+02,2.674322722114054613e+03
-1.282037533312777953e+02,2.689690764328820933e+03
-1.193883533182867751e+02,2.707643165912201312e+03
-1.039118862774464560e+02,2.720311195274883630e+03
-9.185827768792800896e+01,2.736270848152395956e+03
-7.905893088876833019e+01,2.751638890367162276e+03
-6.700532229924988314e+01,2.767598543244674602e+03
-5.420597550009020438e+01,2.782966585459440921e+03
-3.814426894026467352e+01,2.794883866289649632e+03
-1.972571125571122508e+01,2.802678526822397544e+03
-3.664004695885694218e+00,2.814595807652606254e+03
7.616560383686117319e+00,2.831110917445930227e+03
1.809852784519296520e+01,2.848144072119563589e+03
3.470908899265504033e+01,2.859283607943215429e+03
4.822517936425094831e+01,2.874025225936734842e+03
6.730126598265891857e+01,2.880033796426210301e+03
8.682592684373038594e+01,2.875699327801321488e+03
1.061222305652293585e+02,2.870440747889628256e+03
