x,y
1.916189512300792899e+02,1.899020270457277547e+03
2.064025814572262050e+02,1.901558828573017308e+03
2.211104895501289036e+02,1.898613079172486550e+03
2.351713337876030607e+02,1.893388841493218024e+03
2.494768143942627034e+02,1.888877386671047589e+03
2.632590551611847900e+02,1.882957096184712327e+03
2.778485282928451170e+02,1.879471802260154163e+03
2.906308552602230293e+02,1.871622463606544898e+03
3.056215717627956678e+02,1.871094809610543507e+03
3.206208773556942901e+02,1.871239141626532273e+03
3.344311463249439953e+02,1.877093752714980383e+03
3.466096085293730766e+02,1.885850753247999137e+03
3.615273660608686441e+02,1.887419354609565289e+03
3.759820156197168330e+02,1.883411474105996149e+03
3.909781593288365684e+02,1.883071365512413195e+03
4.058877747812048256e+02,1.884715557430195986e+03
4.205204768382798761e+02,1.881416462022531732e+03
4.326255049478976389e+02,1.872558228876730936e+03
4.402080313231335253e+02,1.859615845256668763e+03
4.490638952221376030e+02,1.847509083732532190e+03
4.624538176573003625e+02,1.840748168322595120e+03
4.730363197736424468e+02,1.830117521636827860e+03
4.777394332231133376e+02,1.815873901174269577e+03
4.783394401837055057e+02,1.800885906256761700e+03
4.812591770402588054e+02,1.786172812201176839e+03
4.817651398720445854e+02,1.771181347909358919e+03
4.892595170058795020e+02,1.758187722111458925e+03
4.927852082866650676e+02,1.743607958704853445e+03
4.941989063640084510e+02,1.728674725372914963e+03
4.974558590118735992e+02,1.714032585520777047e+03
4.976023980030997222e+02,1.699033301327054687e+03
4.928127138578399240e+02,1.684818558072649921e+03
4.923651544806748461e+02,1.669825236539250000e+03
4.955885501860868771e+02,1.655175672718906071e+03
5.045145698254621038e+02,1.643120542134897960e+03
5.157893478469384263e+02,1.633227141275414169e+03
5.275890011761127880e+02,1.623966030040184023e+03
5.350910116853231102e+02,1.610976809958912781e+03
5.471718949003462740e+02,1.602085676131049695e+03
5.581894148131749489e+02,1.591906567379767921e+03
5.702369584069225539e+02,1.582970310145514304e+03
5.849300263941988760e+02,1.579951410822701973e+03
5.998939376256207652e+02,1.580991295748126277e+03
6.131076276039362938e+02,1.588090478599480775e+03
6.273094687445989166e+02,1.592918284334530881e+03
6.421674019256892052e+02,1.594977852635475301e+03
6.558032719370557970e+02,1.601227896557969871e+03
6.696843679999772121e+02,1.606912540090500897e+03
6.794551619668141029e+02,1.618293734459178722e+03
6.824124322963642726e+02,1.632999330407591060e+03
6.898004256003316641e+02,1.646053737898570262e+03
7.012509055045353534e+02,1.655743243044006022e+03
7.109869021598426571e+02,1.667154218862394373e+03
7.246551656307141229e+02,1.673333100127707667e+03
7.369398063063168820e+02,1.681940515737013811e+03
7.432877576588329021e+02,1.695531082819593166e+03
7.501486842530656531e+02,1.708870036536753560e+03
7.551033271452557756e+02,1.723028126584880511e+03
7.648038907007110083e+02,1.734469239586095682e+03
7.752842786386727312e+02,1.745200570755611579e+03
7.883024585433402081e+02,1.752652214330670176e+03
8.031875091412088068e+02,1.754505662117604970e+03
8.181772633328907887e+02,1.755059980864312820e+03
8.330732590529894424e+02,1.756823304858025040e+03
8.465631439356270675e+02,1.763382497327619603e+03
8.592718620073246711e+02,1.771350463503131778e+03
8.741995637970197777e+02,1.772821422128631866e+03
8.888764448405114535e+02,1.775918059471814558e+03
9.018870855122016792e+02,1.783382858820233878e+03
9.123844142928487599e+02,1.794097619128845508e+03
9.251050795336684587e+02,1.802046498032879981e+03
9.387944127513053445e+02,1.808178557724085067e+03
9.535135879619775778e+02,1.811067481592506056e+03
9.681596640755429917e+02,1.814306687432777608e+03
9.827171440611463140e+02,1.817923284793385619e+03
9.977106022338065259e+02,1.817480326528209844e+03
1.011757311289337053e+03,1.822742452021703684e+03
1.025509176475035019e+03,1.828732961508749668e+03
1.040482938495887765e+03,1.829619782202501938e+03
1.055261980355481001e+03,1.832184918010289039e+03
1.070221928379513884e+03,1.833280342639477112e+03
1.084734901431425442e+03,1.837071597470596544e+03
1.099711007237358444e+03,1.837917915903281482e+03
1.112895317948477896e+03,1.845071512975570613e+03
1.127890278509075642e+03,1.845460303132487297e+03
1.140914345689579932e+03,1.852901652074561753e+03
1.149372342819021924e+03,1.865289641603066912e+03
1.162032828117240115e+03,1.873334025483365167e+03
1.176497027801964123e+03,1.877307302151359409e+03
1.187480561747324828e+03,1.887523073393468849e+03
1.194627105459889208e+03,1.900711208703830380e+03
1.204519630571620610e+03,1.911986755116921131e+03
1.212667912815243426e+03,1.924580622532384268e+03
1.221991997225502928e+03,1.936330577847633549e+03
1.225886679243176332e+03,1.950816137967325631e+03
1.222363391988788862e+03,1.965396482507941528e+03
1.222659750040776316e+03,1.980393554619024599e+03
1.216300645615181338e+03,1.993978906690442500e+03
